"symbol","qq","debbie"
"4632428N05RIK",1,1
"ABI3",1,1
"ACER3",1,1
"CX3CR1",1,1
"D4WSU53E",1,1
"EDEM2",1,1
"FAM105A",1,1
"GP9",1,1
"IER5",1,1
"IFNGR1",1,1
"IL16",1,1
"LDHB",1,1
"MAP2K1",1,1
"PIP4K2A",1,1
"PNRC2",1,1
"PPT1",1,1
"PTPRO",1,1
"RGS19",1,1
"RHOG",1,1
"RPS6KA1",1,1
"SFT2D1",1,1
"STARD5",1,1
"TGFB1",1,1
"TLR13",1,1
"TNFAIP8L2",1,1
"TNFRSF21",1,1
"VHL",1,1
"ADIPOR1",1,2
"AF251705",1,2
"APOBEC1",1,2
"BC013712",1,2
"CALHM2",1,2
"CD300A",1,2
"CLEC1B",1,2
"EMR4",1,2
"FYB",1,2
"GNGT2",1,2
"LCP2",1,2
"NR4A1",1,2
"POU2F2",1,2
"PSMB9",1,2
"SAT1",1,2
"SIGLECE",1,2
"SLC11A1",1,2
"TBC1D2B",1,2
"TRIM30A",1,2
"ADRBK2",1,3
"ALAS2",1,3
"ARID4A",1,3
"CASP1",1,3
"CD300E",1,3
"CYFIP2",1,3
"DLEU2",1,3
"DTX3L",1,3
"FAIM3",1,3
"FECH",1,3
"FILIP1L",1,3
"IFI35",1,3
"IL6RA",1,3
"IRF8",1,3
"LTB",1,3
"LUC7L3",1,3
"NRGN",1,3
"PTPN1",1,3
"PTPRCAP",1,3
"SCARB1",1,3
"SFRS18",1,3
"SLC44A2",1,3
"STAT1",1,3
"STK17B",1,3
"TMEM14C",1,3
"TREML4",1,3
"VAV1",1,3
"XAF1",1,3
"ZFP385A",1,3
"GIMAP4",1,4
"GLRX3",1,4
"MVD",1,4
"SFPI1",1,4
"ADAP1",1,5
"BNIP3L",1,5
"CAMKK2",1,5
"CEBPB",1,5
"DOK3",1,5
"FAM69A",1,5
"FAM96A",1,5
"IDH1",1,5
"KLF13",1,5
"LYZ2",1,5
"MGST1",1,5
"MS4A8A",1,5
"NFE2",1,5
"PLOD3",1,5
"PRR13",1,5
"RARA",1,5
"SEPX1",1,5
"SMPDL3A",1,5
"STK38",1,5
"UBE2A",1,5
"APBB1IP",1,6
"CHST12",1,6
"GM4902",1,6
"IRF2",1,6
"RAB32",1,6
"SQRDL",1,6
"ZFP706",1,6
"CHCHD10",1,7
"CLEC4A1",1,7
"FAM26F",1,7
"FCGR4",1,7
"HLX",1,7
"HSPH1",1,7
"IL2RG",1,7
"KLRA2",1,7
"MS4A6B",1,7
"PLA2G7",1,7
"ABCA7",1,8
"ACE",1,8
"ARL5C",1,8
"ATP1A3",1,8
"BPGM",1,8
"CCND3",1,8
"CDKN2D",1,8
"EVI2B",1,8
"FMNL1",1,8
"G6PDX",1,8
"GPR141",1,8
"HIST2H2AC",1,8
"HPSE",1,8
"IL17RA",1,8
"KCTD10",1,8
"LIMS1",1,8
"LY6E",1,8
"MS4A6C",1,8
"MYO1F",1,8
"MYO1G",1,8
"PPP2R5A",1,8
"PPP4C",1,8
"SH2D3C",1,8
"SHFM1",1,8
"SLFN1",1,8
"TTC7",1,8
"1110008F13RIK",1,8
"AI413582",1,9
"CBFA2T3",1,9
"CEACAM1",1,9
"EDEM1",1,9
"TIFAB",1,9
"TMEM50B",1,9
"XBP1",1,9
"ABR",1,10
